Energy	Real_Dialectric_function
353.5727554	8.613424947
341.2130266	8.795023111
331.5546523	8.886982564
321.2489451	8.979328808
311.5645887	9.2497921
300.893163	9.520835578
289.968262	9.970382895
281.1521418	10.24123298
271.5909631	10.3345462
263.8419776	10.78351333
255.7760358	11.32192577
247.8385417	11.68241457
244.0517149	12.21889306
239.0705464	12.66708661
234.288645	13.29339721
229.3943959	13.9199012
225.2766545	14.72413545
220.4710425	15.79612546
217.7387989	16.77770318
214.2865184	17.67080256
212.4725581	18.56274157
210.4367054	18.92052283
208.4394963	18.2096018
206.7227803	17.32037032
204.55669	16.52058416
202.2025496	16.16628402
199.4481313	16.07954624
