Energy(eV)	n
1.5055983908816628	2.3980891719745223
1.5634931277237683	2.3980891719745223
1.6320147502514248	2.4076433121019107
1.6951726449882667	2.4076433121019107
1.779483741200134	2.4171974522292996
1.8584646329198793	2.420382165605096
1.9427422058330541	2.426751592356688
2.021756620851492	2.43312101910828
2.127120348642306	2.442675159235669
2.2062018102581296	2.4554140127388537
2.29574254106604	2.461783439490446
2.385350318471337	2.4745222929936306
2.464398256788468	2.484076433121019
2.5540730807911496	2.5031847133757963
2.6489440160911832	2.515923566878981
2.743949044585987	2.5414012738853504
2.823097552799195	2.5605095541401277
2.8864901106268857	2.582802547770701
2.971035869929601	2.614649681528663
3.029232316459939	2.643312101910828
3.082199128394233	2.67515923566879
3.1247401944351325	2.7165605095541405
3.156587328193094	2.74203821656051
3.2042909822326515	2.7738853503184715
3.240998994301039	2.761146496815287
3.266912504190412	2.7229299363057327
3.303385853167952	2.687898089171975
3.3346966141468317	2.6624203821656054
3.360811263828361	2.643312101910828
3.4027153871940996	2.6242038216560513
3.4603084143479714	2.5955414012738856
3.53379148508213	2.5764331210191083
3.6073080791149845	2.5605095541401277
3.659738518270198	2.5414012738853504
3.72802547770700	2.5286624203821657
3.7963459604425074	2.5191082802547773
3.87515923566879	2.5063694267515926
3.938216560509554	2.496815286624204
4.022326516929266	2.4872611464968153
4.0907140462621525	2.484076433121019
4.174857525980556	2.477707006369427
4.253737847804224	2.4713375796178347
4.332685216225276	2.4713375796178347
4.40103922225947	2.464968152866242
4.490512906469997	2.464968152866242
4.579953067381831	2.461783439490446
4.674689909487094	2.461783439490446
4.779953067381831	2.461783439490446
4.864197116996313	2.464968152866242
4.948441166610795	2.4681528662420384
5.011699631243714	2.477707006369427
